"","Latitude","Longitude","Species","Date Observed","Site"
"201",32.24360466,-111.1677556,"Battus philenor","7/15/2016","iNat"
"202",32.24384695,-111.1680633,"Danaus gilippus","7/15/2016","iNat"
"203",32.24308742,-111.1679165,"Danaus gilippus","7/15/2016","iNat"
"204",32.24257925,-111.1674659,"Abaeis nicippe","7/15/2016","iNat"
"205",32.24069898,-110.9364451,"Battus philenor","7/20/2016","iNat"
"206",32.22534878,-110.9325591,"Danaus gilippus","7/22/2016","iNat"
"207",32.23488513,-110.9482587,"Hylephila phyleus","7/25/2016","iNat"
"208",32.244013,-111.168174,"Anthanassa texana","7/26/2016","iNat"
"209",32.29438463,-110.8385355,"Asterocampa leilia","7/26/2016","iNat"
"210",32.24327092,-111.1669938,"Battus philenor","8/2/2016","iNat"
"211",32.24327092,-111.1669938,"Danaus gilippus","8/2/2016","iNat"
"212",32.20734539,-110.9876069,"Asterocampa celtis","8/5/2016","iNat"
"213",32.230792,-110.918406,"Strymon melinus","8/8/2016","iNat"
"214",32.23421645,-110.8838496,"Papilio rumiko","8/10/2016","iNat"
"215",32.23423689,-110.8838304,"Brephidium exilis","8/10/2016","iNat"
"216",32.26173333,-111.2120683,"Asterocampa leilia","8/10/2016","iNat"
"217",32.25210775,-111.1910725,"Apodemia palmerii","8/10/2016","iNat"
"218",32.204105,-110.7104333,"Ministrymon leda","8/13/2016","iNat"
"219",32.31591783,-110.9541593,"Echinargus isola","8/13/2016","iNat"
"220",32.20408636,-110.7207298,"Danaus gilippus","8/13/2016","iNat"
"221",32.20408636,-110.7207298,"Apodemia palmerii","8/13/2016","iNat"
"222",32.23436934,-110.9820223,"Apodemia palmerii","8/13/2016","iNat"
"223",32.24949667,-111.0138639,"Lerodea eufala","8/14/2016","iNat"
"224",32.219242,-110.952906,"Danaus gilippus","8/15/2016","iNat"
"225",32.1887434,-110.9250887,"Agraulis vanillae","8/16/2016","iNat"
"226",32.2308006,-110.9184145,"Leptotes marina","8/21/2016","iNat"
"227",32.24067955,-110.9364046,"Libytheana carinenta","8/23/2016","iNat"
"228",32.24055171,-110.9365955,"Danaus gilippus","8/23/2016","iNat"
"229",32.17454167,-110.7367033,"Atrytonopsis edwardsi","8/23/2016","iNat"
"230",32.22086667,-110.7216333,"Danaus gilippus","8/25/2016","iNat"
"231",32.22087167,-110.7302333,"Apodemia palmerii","8/25/2016","iNat"
"232",32.21118738,-110.7246275,"Asterocampa leilia","8/27/2016","iNat"
"233",32.16611155,-110.7235939,"Abaeis nicippe","8/27/2016","iNat"
"234",32.16612622,-110.723638,"Phoebis sennae","8/27/2016","iNat"
"235",32.16623297,-110.7233227,"Asterocampa leilia","8/27/2016","iNat"
"236",32.24574955,-111.0679136,"Heliopetes domicella","8/28/2016","iNat"
"237",32.2404536,-110.9364599,"Strymon melinus","8/28/2016","iNat"
"238",32.17466333,-110.7368083,"Atrytonopsis edwardsi","9/1/2016","iNat"
"239",32.28241333,-111.0307472,"Phoebis sennae","9/3/2016","iNat"
"240",32.2109386,-110.9317266,"Strymon melinus","9/5/2016","iNat"
"241",32.24037686,-110.9363211,"Vanessa cardui","9/5/2016","iNat"
"242",32.24348669,-111.1681955,"Danaus gilippus","9/6/2016","iNat"
"243",32.244013,-111.168174,"Leptotes marina","9/6/2016","iNat"
"244",32.244013,-111.168174,"Ministrymon leda","9/6/2016","iNat"
"245",32.24237962,-111.1677448,"Danaus gilippus","9/6/2016","iNat"
"246",32.33833313,-110.9783325,"Chlosyne lacinia","9/6/2016","iNat"
"247",32.244013,-111.168174,"Danaus gilippus","9/7/2016","iNat"
"248",32.2812817,-110.942835,"Danaus plexippus","9/9/2016","iNat"
"249",32.2812817,-110.942835,"Phoebis sennae","9/9/2016","iNat"
"250",32.27694321,-110.9497223,"Erynnis funeralis","9/10/2016","iNat"
"251",32.33833313,-110.9788895,"Chiomara georgina","9/12/2016","iNat"
"252",32.18910333,-110.926155,"Papilio rumiko","9/16/2016","iNat"
"253",32.232874,-110.900387,"Apodemia palmerii","9/18/2016","iNat"
"254",32.232874,-110.900387,"Hemiargus ceraunus","9/18/2016","iNat"
"255",32.19138439,-110.7734429,"Danaus gilippus","9/19/2016","iNat"
"256",32.232874,-110.900387,"Brephidium exilis","9/19/2016","iNat"
"257",32.232874,-110.900387,"Danaus gilippus","9/19/2016","iNat"
"258",32.33722305,-110.9783325,"Systasea zampa","9/19/2016","iNat"
"259",32.22195053,-110.9024887,"Danaus gilippus","9/20/2016","iNat"
"260",32.217753,-110.883876,"Danaus gilippus","9/22/2016","iNat"
