"","Latitude","Longitude","Date Observed","Site","philenor","sennae","mexicana","marina","isola","vanillae","cardui","plexippus","texana","gilippus","agarithe","funeralis","rumiko","carinenta","eufala","ceraunus","istapa","nemesis","protodice","cesonia","nicippe","iole","halesus","leilia","leda","palmerii","melinus","virginiensis","claudia","elada","zampa","lacinia","phyleus","dymas","hippalus","boisduvaliana","proterpia","astyalus","albescens","echo","aurantiaca","tristis","lyside","coenia","arizonensis","atalanta","charithonia","simaethis","eulalia","antiopa","domicella","eurytheme","Unknown sp1","catullus","polyxenes","exilis","cyneas","genoveva","ladon","annabella","rapae","celtis","multicaudata","dorantes","sara thoosa","cethura","sisymbrii","sara","philetas","ceos","grynea","acastus","satyrus","acmon","nessus","rita","mormo","lotta","augustinus","Limenitis arthemis astyanax","pacuvius","pyracmon","clorinde"
"23",32.339288,-110.981741,"9/6/2014","Tohono Chul",15,27,2,21,NA,12,NA,NA,6,30,NA,NA,2,2,NA,NA,NA,NA,1,1,4,1,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",32.339288,-110.981741,"9/13/2014","Tohono Chul",14,32,1,20,NA,20,NA,NA,NA,32,NA,NA,3,3,NA,NA,NA,NA,2,6,8,6,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",32.339288,-110.981741,"10/2/2014","Tohono Chul",10,22,3,34,NA,13,NA,1,18,90,1,1,NA,20,NA,NA,NA,1,3,8,9,15,NA,9,NA,NA,1,NA,NA,3,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",32.339288,-110.981741,"10/11/2014","Tohono Chul",14,40,7,39,NA,35,NA,NA,10,62,2,NA,7,2,1,NA,NA,1,NA,8,7,14,NA,4,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",32.339288,-110.981741,"10/18/2014","Tohono Chul",10,30,6,27,NA,23,NA,1,15,96,NA,1,6,7,1,NA,NA,NA,NA,16,15,18,NA,6,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",32.339288,-110.981741,"10/25/2014","Tohono Chul",6,25,15,30,NA,23,1,1,10,124,1,NA,4,11,NA,NA,NA,NA,NA,10,12,19,NA,8,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",32.339288,-110.981741,"11/1/2014","Tohono Chul",8,20,17,28,NA,20,1,5,10,102,NA,1,7,4,NA,NA,NA,1,NA,11,10,17,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",32.339288,-110.981741,"11/4/2014","Tohono Chul",14,10,27,40,NA,31,2,3,29,127,NA,NA,NA,4,1,NA,NA,2,NA,15,5,17,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",32.339288,-110.981741,"11/8/2014","Tohono Chul",10,25,25,26,NA,NA,2,3,13,124,1,NA,1,13,NA,1,NA,3,NA,23,12,16,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",32.339288,-110.981741,"11/15/2014","Tohono Chul",13,7,24,18,NA,16,9,3,35,60,NA,NA,1,18,NA,NA,NA,NA,2,67,22,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
