observed_on_string,observed_on,tag_list,description,captive_cultivated,oauth_application_id,latitude,longitude,geoprivacy,taxon_geoprivacy,positioning_method,scientific_name,iconic_taxon_name,taxon_id,taxon_genus_name,taxon_species_name
2014-08-25 10:10 AM MST,8/25/2014,,,FALSE,,32.479726,-111.088696,,,,Hemiargus ceraunus,Insecta,69940,Hemiargus,Hemiargus ceraunus
2014-08-25 10:14 AM MST,8/25/2014,,,FALSE,,32.479726,-111.088696,,,,Hemeroplanis incusalis,Insecta,346571,Hemeroplanis,Hemeroplanis incusalis
2014-08-25 8:41 PM MST,8/25/2014,,,FALSE,,32.47931,-111.089404,,,,Euscirrhopterus cosyra,Insecta,129412,Euscirrhopterus,Euscirrhopterus cosyra
2014-08-25 8:24 PM MST,8/25/2014,,Eulithosia discistriga - Hodges#9769,FALSE,,32.47931,-111.089404,,,,Eulithosia discistriga,Insecta,366876,Eulithosia,Eulithosia discistriga
2014-08-27 9:00 PM MST,8/27/2014,,,FALSE,,32.477703,-111.087489,,,,Ministrymon leda,Insecta,225163,Ministrymon,Ministrymon leda
2014-08-27 9:19 PM MST,8/27/2014,,per Maury on bg,FALSE,,32.478065,-111.089163,,,,Forsebia cinis,Insecta,354225,Forsebia,Forsebia cinis
2014-08-26 5:46 AM MST,8/26/2014,,,FALSE,,32.478431,-111.088839,,,,Hyles lineata,Insecta,49348,Hyles,Hyles lineata
2014-08-25 8:43 PM MST,8/25/2014,,,FALSE,,32.47931,-111.089404,,,,Grotellaforma lactea,Insecta,478086,Grotellaforma,Grotellaforma lactea
2014-08-25 8:43 PM MST,8/25/2014,,id per Maury on BG,FALSE,,32.47931,-111.089404,,,,Prothrinax luteomedia,Insecta,367007,Prothrinax,Prothrinax luteomedia
2014-08-25 8:41 PM MST,8/25/2014,,,FALSE,,32.47931,-111.089404,,,,Hemeroplanis incusalis,Insecta,346571,Hemeroplanis,Hemeroplanis incusalis
2014-08-25 8:22 PM MST,8/25/2014,,,FALSE,,32.47931,-111.089404,,,,Bruceia pulverina,Insecta,215460,Bruceia,Bruceia pulverina
2014-08-25 8:44 PM MST,8/25/2014,,ID per Maury Heiman,FALSE,,32.47931,-111.089404,,,,Toxonprucha volucris,Insecta,346318,Toxonprucha,Toxonprucha volucris
2014-08-25 8:49 PM MST,8/25/2014,,id per Maury on BG,FALSE,,32.47931,-111.089404,,,,Archirhoe neomexicana,Insecta,346542,Archirhoe,Archirhoe neomexicana
2014-08-26 5:49 AM MST,8/26/2014,,,FALSE,,32.478431,-111.088839,,,,Litodonta wymola,Insecta,177298,Litodonta,Litodonta wymola
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013420",FALSE,,32.369784,-110.706139,,,,Manduca rustica,Insecta,126568,Manduca,Manduca rustica
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Melipotis novanda,Insecta,324814,Melipotis,Melipotis novanda
24-Aug-14,8/24/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012578",FALSE,,32.369784,-110.706139,,,,Pseudohemihyalea ambigua,Insecta,229118,Pseudohemihyalea,Pseudohemihyalea ambigua
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Melipotis jucunda,Insecta,224856,Melipotis,Melipotis jucunda
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Melipotis indomita,Insecta,224855,Melipotis,Melipotis indomita
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Melipotis indomita,Insecta,224855,Melipotis,Melipotis indomita
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013423",FALSE,,32.369784,-110.706139,,,,Erinnyis ello,Insecta,143586,Erinnyis,Erinnyis ello
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Forsebia cinis,Insecta,354225,Forsebia,Forsebia cinis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013411",FALSE,,32.369784,-110.706139,,,,Manduca quinquemaculata,Insecta,118558,Manduca,Manduca quinquemaculata
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Melipotis novanda,Insecta,324814,Melipotis,Melipotis novanda
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012584",FALSE,,32.369784,-110.706139,,,,Xylophanes falco,Insecta,143840,Xylophanes,Xylophanes falco
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Virbia ostenta,Insecta,366991,Virbia,Virbia ostenta
24-Aug-14,8/24/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Hyles lineata,Insecta,49348,Hyles,Hyles lineata
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Cisthene angelus,Insecta,143991,Cisthene,Cisthene angelus
25-Aug-14,8/25/2014,"#GreatNature, #animal","Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013380",FALSE,,32.369784,-110.706139,,,,Pygarctia roseicapitis,Insecta,367386,Pygarctia,Pygarctia roseicapitis
24-Aug-14,8/24/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1012560",FALSE,,32.369784,-110.706139,,,,Virbia ostenta,Insecta,366991,Virbia,Virbia ostenta
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013460",FALSE,,32.369784,-110.706139,,,,Manduca sexta,Insecta,61505,Manduca,Manduca sexta
25-Aug-14,8/25/2014,,"Pima County, Arizona, US",FALSE,,32.369784,-110.706139,,,,Cisthene tenuifascia schwarziorum,Insecta,564194,Cisthene,Cisthene tenuifascia
25-Aug-14,8/25/2014,,"Pima County, Arizona, US

BAMONA record
http://www.butterfliesandmoths.org/sighting_details/1013454",FALSE,,32.369784,-110.706139,,,,Bulia deducta,Insecta,215591,Bulia,Bulia deducta
